Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 3;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 4;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 5;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 1;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 2;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 3;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 4;формалин;4;кг;70.0;1400.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Б;Б;формалин;10;кг;50.0;1000.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Е;Е;формалин;10;кг;50.0;1000.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;А;А;формалин;10;кг;50.0;1000.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;Ж;Ж;формалин;5;кг;50.0;1000.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;В;В;формалин;15;кг;80.0;1600.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;БП 12;БП 12;формалин;12;кг;80.0;1600.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;БП 13;БП 13;формалин;12;кг;80.0;1600.0;0.05;средство
8;Влажная дезинфекция;5;ДЗ;1;БП 14;БП 14;формалин;12;кг;80.0;1600.0;0.05;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 1;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 2;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 3;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 4;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 5;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 1;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Д;Д 2;Глутаровый альдегид;4;л;10.0;1000.0;0.01;средство
