Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано;Подпись колонки нормы
5;Дезинфекция линий поения (санация 1);1;ОС;;Ж;Ж;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;В;В;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 12;БП 12;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 13;БП 13;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
5;Дезинфекция линий поения (санация 1);1;ОС;;БП 14;БП 14;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором,;;кг;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 1;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 2;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 3;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 4;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Г;Г 5;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 1;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 2;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 3;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Д;Д 4;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Б;Б;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Е;Е;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;А;А;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;Ж;Ж;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;В;В;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 12;БП 12;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 13;БП 13;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
6;Дезинфекция линий поения (санация 3);3;ПР;;БП 14;БП 14;Формалин;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 1;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 2;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 3;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 4;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Г;Г 5;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 1;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 2;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 3;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Д;Д 4;формалин;;кг;70.0;1400.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Б;Б;формалин;;кг;50.0;1000.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Е;Е;формалин;;кг;50.0;1000.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;А;А;формалин;;кг;50.0;1000.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;Ж;Ж;формалин;;кг;50.0;1000.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;В;В;формалин;;кг;80.0;1600.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;БП 12;БП 12;формалин;;кг;80.0;1600.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;БП 13;БП 13;формалин;;кг;80.0;1600.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
8;Влажная дезинфекция;5;ДЗ;1;БП 14;БП 14;формалин;;кг;80.0;1600.0;0.05;средство;Кол-во дез. Средства, 0,01 кг/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 1;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
9;Влажная дезинфекция на подстилку;6;ДЗ;2;Г;Г 2;Глутаровый альдегид;;л;10.0;1000.0;0.01;средство;Кол-во дез. Средства, 1л/м2
